  act_pos	setpoint	    time	    voice	  output	   error
  0.0000	  0.0000	0.001000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.002000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.003000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.004000	-0.00000	0.000000	0.000000
  0.0000	  0.0000	0.005000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.006000	-0.00000	0.000000	0.000000
  0.0000	  0.0000	0.007000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.008000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.009000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.010000	 0.00000	0.000000	0.000000
  0.0000	  0.0000	0.011000	 0.00000	0.000001	0.000001
  0.0000	  0.0000	0.012000	 0.00000	0.000001	0.000001
  0.0000	  0.0000	0.013000	 0.00000	0.000001	0.000001
  0.0000	  0.0000	0.014000	-0.00000	0.000001	0.000001
  0.0000	  0.0000	0.015000	-0.00000	0.000002	0.000002
  0.0000	  0.0000	0.016000	-0.00000	0.000002	0.000002
  0.0000	  0.0000	0.017000	-0.00000	0.000003	0.000003
  0.0000	  0.0000	0.018000	-0.00000	0.000003	0.000003
  0.0000	  0.0000	0.019000	 0.00000	0.000004	0.000004
  0.0000	  0.0000	0.020000	-0.00000	0.000005	0.000005
  0.0000	  0.0000	0.021000	 0.00000	0.000005	0.000005
  0.0000	  0.0000	0.022000	 0.00000	0.000006	0.000006
  0.0000	  0.0000	0.023000	 0.00000	0.000007	0.000007
  0.0000	  0.0000	0.024000	-0.00000	0.000008	0.000008
  0.0000	  0.0000	0.025000	 0.00000	0.000009	0.000009
  0.0000	  0.0000	0.026000	-0.00000	0.000010	0.000010
  0.0000	  0.0000	0.027000	-0.00000	0.000012	0.000012
  0.0000	  0.0000	0.028000	-0.00000	0.000013	0.000013
  0.0000	  0.0000	0.029000	 0.00000	0.000015	0.000015
  0.0000	  0.0000	0.030000	 0.00000	0.000016	0.000016
  0.0000	  0.0000	0.031000	-0.00000	0.000018	0.000018
  0.0000	  0.0000	0.032000	 0.00000	0.000020	0.000020
  0.0000	  0.0000	0.033000	 0.00000	0.000022	0.000022
  0.0000	  0.0000	0.034000	-0.00000	0.000024	0.000024
  0.0000	  0.0000	0.035000	 0.00000	0.000026	0.000026
  0.0000	  0.0000	0.036000	 0.00000	0.000029	0.000029
  0.0000	  0.0000	0.037000	-0.00000	0.000031	0.000031
  0.0000	  0.0000	0.038000	-0.00000	0.000034	0.000034
  0.0000	  0.0000	0.039000	 0.00000	0.000037	0.000037
  0.0000	  0.0000	0.040000	-0.00000	0.000040	0.000040
  0.0000	  0.0000	0.041000	-0.00000	0.000043	0.000043
  0.0000	  0.0000	0.042000	 0.00000	0.000046	0.000046
  0.0000	  0.0001	0.043000	-0.00000	0.000049	0.000049
  0.0000	  0.0001	0.044000	 0.00000	0.000053	0.000053
  0.0000	  0.0001	0.045000	-0.00000	0.000057	0.000057
  0.0000	  0.0001	0.046000	 0.00000	0.000061	0.000061
  0.0000	  0.0001	0.047000	-0.00000	0.000065	0.000065
  0.0000	  0.0001	0.048000	 0.00000	0.000069	0.000069
  0.0000	  0.0001	0.049000	-0.00000	0.000074	0.000074
  0.0000	  0.0001	0.050000	-0.00000	0.000078	0.000078
  0.0000	  0.0001	0.051000	 0.00000	0.000083	0.000083
  0.0000	  0.0001	0.052000	-0.00000	0.000088	0.000088
  0.0000	  0.0001	0.053000	 0.00000	0.000094	0.000094
  0.0000	  0.0001	0.054000	 0.00000	0.000099	0.000099
  0.0000	  0.0001	0.055000	 0.00000	0.000105	0.000105
  0.0000	  0.0001	0.056000	 0.00000	0.000111	0.000111
  0.0000	  0.0001	0.057000	 0.00000	0.000117	0.000117
  0.0000	  0.0001	0.058000	 0.00000	0.000123	0.000123
  0.0000	  0.0001	0.059000	 0.00000	0.000130	0.000130
  0.0000	  0.0001	0.060000	 0.00000	0.000137	0.000137
  0.0000	  0.0002	0.061000	-0.00000	0.000144	0.000144
  0.0000	  0.0002	0.062000	-0.00000	0.000151	0.000151
  0.0000	  0.0002	0.063000	-0.00000	0.000159	0.000159
  0.0000	  0.0002	0.064000	 0.00000	0.000167	0.000167
  0.0000	  0.0002	0.065000	-0.00000	0.000175	0.000175
  0.0000	  0.0002	0.066000	-0.00000	0.000183	0.000183
  0.0000	  0.0002	0.067000	 0.00000	0.000191	0.000191
  0.0000	  0.0002	0.068000	-0.00000	0.000200	0.000200
  0.0000	  0.0002	0.069000	-0.00000	0.000209	0.000209
  0.0000	  0.0002	0.070000	 0.00000	0.000219	0.000219
  0.0000	  0.0002	0.071000	 0.00000	0.000228	0.000228
  0.0000	  0.0002	0.072000	-0.00000	0.000238	0.000238
  0.0000	  0.0003	0.073000	-0.00000	0.000249	0.000249
  0.0000	  0.0003	0.074000	-0.00001	0.000259	0.000259
  0.0000	  0.0003	0.075000	-0.00000	0.000270	0.000270
  0.0000	  0.0003	0.076000	-0.00000	0.000281	0.000281
  0.0000	  0.0003	0.077000	-0.00000	0.000292	0.000292
  0.0000	  0.0003	0.078000	-0.00000	0.000304	0.000304
  0.0000	  0.0003	0.079000	 0.00000	0.000316	0.000316
  0.0000	  0.0003	0.080000	 0.00001	0.000328	0.000328
  0.0000	  0.0004	0.081000	-0.00000	0.000341	0.000341
  0.0000	  0.0004	0.082000	 0.00000	0.000354	0.000354
  0.0000	  0.0004	0.083000	 0.00000	0.000367	0.000367
  0.0000	  0.0004	0.084000	-0.00001	0.000381	0.000381
  0.0000	  0.0004	0.085000	 0.00000	0.000395	0.000395
  0.0000	  0.0004	0.086000	-0.00001	0.000409	0.000409
